,date,county,state,cases,deaths,Week,Weekly Cases,Weekly Deaths
0,2020-07-01,Alameda,California,6177,136.0,Wednesday,0.0,0.0
399,2020-07-08,Alameda,California,7266,142.0,Wednesday,1089.0,6.0
798,2020-07-15,Alameda,California,8499,154.0,Wednesday,1233.0,12.0
1197,2020-07-22,Alameda,California,9664,171.0,Wednesday,1165.0,17.0
1596,2020-07-29,Alameda,California,10896,181.0,Wednesday,1232.0,10.0
2002,2020-08-05,Alameda,California,12157,193.0,Wednesday,1261.0,12.0
2408,2020-08-12,Alameda,California,14120,212.0,Wednesday,1963.0,19.0
2814,2020-08-19,Alameda,California,15857,228.0,Wednesday,1737.0,16.0
3220,2020-08-26,Alameda,California,17406,243.0,Wednesday,1549.0,15.0
3626,2020-09-02,Alameda,California,18716,274.0,Wednesday,1310.0,31.0
4032,2020-09-09,Alameda,California,19617,303.0,Wednesday,901.0,29.0
4438,2020-09-16,Alameda,California,20118,356.0,Wednesday,501.0,53.0
4844,2020-09-23,Alameda,California,20860,395.0,Wednesday,742.0,39.0
5250,2020-09-30,Alameda,California,21404,412.0,Wednesday,544.0,17.0
5656,2020-10-07,Alameda,California,21866,440.0,Wednesday,462.0,28.0
6062,2020-10-14,Alameda,California,22346,442.0,Wednesday,480.0,2.0
6468,2020-10-21,Alameda,California,22953,435.0,Wednesday,607.0,-7.0
6874,2020-10-28,Alameda,California,23597,462.0,Wednesday,644.0,27.0
7280,2020-11-04,Alameda,California,24254,466.0,Wednesday,657.0,4.0
7686,2020-11-11,Alameda,California,25270,483.0,Wednesday,1016.0,17.0
8092,2020-11-18,Alameda,California,26676,494.0,Wednesday,1406.0,11.0
8498,2020-11-25,Alameda,California,28246,502.0,Wednesday,1570.0,8.0
8904,2020-12-02,Alameda,California,30351,520.0,Wednesday,2105.0,18.0
9310,2020-12-09,Alameda,California,34394,526.0,Wednesday,4043.0,6.0
9716,2020-12-16,Alameda,California,40047,563.0,Wednesday,5653.0,37.0
10122,2020-12-23,Alameda,California,45772,616.0,Wednesday,5725.0,53.0
10528,2020-12-30,Alameda,California,50967,625.0,Wednesday,5195.0,9.0
