county,area
San Bernardino,20057.00
Inyo,10181.00
Kern,8132.00
Riverside,7206.00
Siskiyou,6278.00
Fresno,5958.00
Tulare,4824.00
Lassen,4541.00
San Diego,4207.00
Imperial,4177.00
Los Angeles,4058.00
Modoc,3918.00
Shasta,3775.00
Humboldt,3568.00
Mendocino,3506.00
Monterey,3381.00
San Luis Obispo,3299.00
Trinity,3179.00
Mono,3049.00
Tehama,2950.00
Santa Barbara,2735.00
Plumas,2553.00
Tuolumne,2221.00
Madera,2137.00
Merced,1935.00
Ventura,1843.00
El Dorado,1708.00
Butte,1636.00
Sonoma,1576.00
Stanislaus,1495.00
Mariposa,1449.00
Placer,1407.00
San Joaquin,1391.00
Kings,1389.00
San Benito,1389.00
Glenn,1314.00
Santa Clara,1290.00
Lake,1256.00
Colusa,1151.00
Calaveras,1020.00
Yolo,1015.00
Del Norte,1006.00
Sacramento,965.00
Nevada,958.00
Sierra,953.00
Solano,822.00
Orange,791.00
Napa,748.00
Alameda,739.00
Alpine,738.00
Contra Costa,716.00
Yuba,632.00
Sutter,602.00
Amador,595.00
Marin,520.00
San Mateo,448.00
Santa Cruz,445.00
San Francisco,47.00
