date,county,state,cases,deaths
2021-01-01,Alameda,California,52496,657.0
2021-01-01,Alpine,California,66,0.0
2021-01-01,Amador,California,2492,24.0
2021-01-01,Butte,California,7405,96.0
2021-01-01,Calaveras,California,1161,22.0
2021-01-01,Colusa,California,1351,8.0
2021-01-01,Contra Costa,California,41599,347.0
2021-01-01,Del Norte,California,769,2.0
2021-01-01,El Dorado,California,5662,24.0
2021-01-01,Fresno,California,66442,646.0
2021-01-01,Glenn,California,1484,14.0
2021-01-01,Humboldt,California,1764,22.0
2021-01-01,Imperial,California,22494,419.0
2021-01-01,Inyo,California,591,20.0
2021-01-01,Kern,California,69484,512.0
2021-01-01,Kings,California,16394,110.0
2021-01-01,Lake,California,1848,24.0
2021-01-01,Lassen,California,4691,10.0
2021-01-01,Los Angeles,California,790895,10552.0
2021-01-01,Madera,California,10609,117.0
2021-01-01,Marin,California,9902,139.0
2021-01-01,Mariposa,California,255,4.0
2021-01-01,Mendocino,California,2558,26.0
2021-01-01,Merced,California,19444,260.0
2021-01-01,Modoc,California,323,1.0
2021-01-01,Mono,California,868,4.0
2021-01-01,Monterey,California,28064,196.0
2021-01-01,Napa,California,5802,29.0
2021-01-01,Nevada,California,2619,50.0
2021-01-01,Orange,California,166196,1875.0
2021-01-01,Placer,California,13755,125.0
2021-01-01,Plumas,California,401,4.0
2021-01-01,Riverside,California,184193,1985.0
2021-01-01,Sacramento,California,65816,857.0
2021-01-01,San Benito,California,3739,29.0
2021-01-01,San Bernardino,California,199115,1445.0
2021-01-01,San Diego,California,155658,1534.0
2021-01-01,San Francisco,California,23743,189.0
2021-01-01,San Joaquin,California,45764,651.0
2021-01-01,San Luis Obispo,California,10846,82.0
2021-01-01,San Mateo,California,24589,227.0
2021-01-01,Santa Barbara,California,17434,160.0
2021-01-01,Santa Clara,California,71755,748.0
2021-01-01,Santa Cruz,California,8909,83.0
2021-01-01,Shasta,California,8060,78.0
2021-01-01,Sierra,California,26,0.0
2021-01-01,Siskiyou,California,1176,11.0
2021-01-01,Solano,California,19216,98.0
2021-01-01,Sonoma,California,19129,192.0
2021-01-01,Stanislaus,California,37524,616.0
2021-01-01,Sutter,California,6505,52.0
2021-01-01,Tehama,California,3036,36.0
2021-01-01,Trinity,California,242,4.0
2021-01-01,Tulare,California,33443,406.0
2021-01-01,Tuolumne,California,2962,21.0
2021-01-01,Ventura,California,40854,263.0
2021-01-01,Yolo,California,8295,111.0
