date,county,state,cases,deaths
2020-07-01,Alameda,California,6177,136.0
2020-07-01,Alpine,California,1,0.0
2020-07-01,Amador,California,22,0.0
2020-07-01,Butte,California,189,2.0
2020-07-01,Calaveras,California,40,0.0
2020-07-01,Colusa,California,59,0.0
2020-07-01,Contra Costa,California,3248,77.0
2020-07-01,Del Norte,California,51,0.0
2020-07-01,El Dorado,California,184,0.0
2020-07-01,Fresno,California,5289,75.0
2020-07-01,Glenn,California,112,0.0
2020-07-01,Humboldt,California,136,4.0
2020-07-01,Imperial,California,6523,96.0
2020-07-01,Inyo,California,30,1.0
2020-07-01,Kern,California,4778,76.0
2020-07-01,Kings,California,2504,32.0
2020-07-01,Lake,California,81,0.0
2020-07-01,Lassen,California,233,0.0
2020-07-01,Los Angeles,California,105507,3402.0
2020-07-01,Madera,California,541,5.0
2020-07-01,Marin,California,2394,19.0
2020-07-01,Mariposa,California,27,1.0
2020-07-01,Mendocino,California,85,0.0
2020-07-01,Merced,California,1131,11.0
2020-07-01,Mono,California,41,1.0
2020-07-01,Monterey,California,1691,15.0
2020-07-01,Napa,California,343,4.0
2020-07-01,Nevada,California,117,1.0
2020-07-01,Orange,California,14413,345.0
2020-07-01,Placer,California,724,11.0
2020-07-01,Plumas,California,8,0.0
2020-07-01,Riverside,California,18656,463.0
2020-07-01,Sacramento,California,3396,68.0
2020-07-01,San Benito,California,239,2.0
2020-07-01,San Bernardino,California,12746,258.0
2020-07-01,San Diego,California,14686,372.0
2020-07-01,San Francisco,California,3651,50.0
2020-07-01,San Joaquin,California,3914,54.0
2020-07-01,San Luis Obispo,California,642,2.0
2020-07-01,San Mateo,California,3268,108.0
2020-07-01,Santa Barbara,California,3164,29.0
2020-07-01,Santa Clara,California,4572,159.0
2020-07-01,Santa Cruz,California,399,3.0
2020-07-01,Shasta,California,129,5.0
2020-07-01,Sierra,California,1,0.0
2020-07-01,Siskiyou,California,31,0.0
2020-07-01,Solano,California,1407,25.0
2020-07-01,Sonoma,California,1229,9.0
2020-07-01,Stanislaus,California,2578,44.0
2020-07-01,Sutter,California,197,3.0
2020-07-01,Tehama,California,75,1.0
2020-07-01,Trinity,California,3,0.0
2020-07-01,Tulare,California,4323,128.0
2020-07-01,Tuolumne,California,34,0.0
2020-07-01,Ventura,California,3096,46.0
2020-07-01,Yolo,California,555,24.0
2020-07-01,Yuba,California,94,1.0
2020-07-02,Alameda,California,6405,138.0
2020-07-02,Alpine,California,1,0.0
2020-07-02,Amador,California,24,0.0
2020-07-02,Butte,California,206,3.0
2020-07-02,Calaveras,California,53,0.0
2020-07-02,Colusa,California,70,0.0
2020-07-02,Contra Costa,California,3326,78.0
2020-07-02,Del Norte,California,51,0.0
2020-07-02,El Dorado,California,198,0.0
2020-07-02,Fresno,California,5626,77.0
2020-07-02,Glenn,California,122,0.0
2020-07-02,Humboldt,California,138,4.0
2020-07-02,Imperial,California,6824,99.0
2020-07-02,Inyo,California,30,1.0
2020-07-02,Kern,California,4949,77.0
2020-07-02,Kings,California,2583,32.0
2020-07-02,Lake,California,87,0.0
2020-07-02,Lassen,California,234,0.0
2020-07-02,Los Angeles,California,107667,3454.0
2020-07-02,Madera,California,566,5.0
2020-07-02,Marin,California,2446,19.0
2020-07-02,Mariposa,California,29,1.0
2020-07-02,Mendocino,California,85,0.0
2020-07-02,Merced,California,1208,11.0
2020-07-02,Mono,California,41,1.0
2020-07-02,Monterey,California,1748,15.0
2020-07-02,Napa,California,348,4.0
2020-07-02,Nevada,California,123,1.0
2020-07-02,Orange,California,15662,354.0
2020-07-02,Placer,California,754,11.0
2020-07-02,Plumas,California,8,0.0
2020-07-02,Riverside,California,19537,465.0
2020-07-02,Sacramento,California,3558,69.0
2020-07-02,San Benito,California,257,2.0
2020-07-02,San Bernardino,California,13152,265.0
2020-07-02,San Diego,California,15270,377.0
2020-07-02,San Francisco,California,3722,50.0
2020-07-02,San Joaquin,California,4298,55.0
2020-07-02,San Luis Obispo,California,675,2.0
2020-07-02,San Mateo,California,3376,108.0
2020-07-02,Santa Barbara,California,3268,29.0
2020-07-02,Santa Clara,California,4750,160.0
2020-07-02,Santa Cruz,California,410,3.0
2020-07-02,Shasta,California,135,5.0
2020-07-02,Sierra,California,1,0.0
2020-07-02,Siskiyou,California,31,0.0
2020-07-02,Solano,California,1481,25.0
2020-07-02,Sonoma,California,1267,10.0
2020-07-02,Stanislaus,California,2619,44.0
2020-07-02,Sutter,California,206,3.0
2020-07-02,Tehama,California,80,1.0
2020-07-02,Trinity,California,3,0.0
2020-07-02,Tulare,California,4521,133.0
2020-07-02,Tuolumne,California,43,0.0
2020-07-02,Ventura,California,3240,47.0
2020-07-02,Yolo,California,583,24.0
2020-07-02,Yuba,California,103,1.0
2020-07-03,Alameda,California,6493,140.0
2020-07-03,Alpine,California,1,0.0
2020-07-03,Amador,California,29,0.0
2020-07-03,Butte,California,206,3.0
2020-07-03,Calaveras,California,53,0.0
2020-07-03,Colusa,California,70,0.0
2020-07-03,Contra Costa,California,3432,79.0
2020-07-03,Del Norte,California,55,0.0
2020-07-03,El Dorado,California,226,0.0
2020-07-03,Fresno,California,5851,77.0
2020-07-03,Glenn,California,122,0.0
2020-07-03,Humboldt,California,138,4.0
2020-07-03,Imperial,California,6979,104.0
2020-07-03,Inyo,California,29,1.0
2020-07-03,Kern,California,5110,80.0
2020-07-03,Kings,California,2600,33.0
2020-07-03,Lake,California,88,0.0
2020-07-03,Lassen,California,234,0.0
2020-07-03,Los Angeles,California,110310,3454.0
2020-07-03,Madera,California,578,5.0
2020-07-03,Marin,California,2656,19.0
2020-07-03,Mariposa,California,28,1.0
2020-07-03,Mendocino,California,85,0.0
2020-07-03,Merced,California,1272,11.0
2020-07-03,Mono,California,42,1.0
2020-07-03,Monterey,California,1796,15.0
2020-07-03,Napa,California,377,4.0
2020-07-03,Nevada,California,129,1.0
2020-07-03,Orange,California,17056,360.0
2020-07-03,Placer,California,786,11.0
2020-07-03,Plumas,California,8,0.0
2020-07-03,Riverside,California,20253,479.0
2020-07-03,Sacramento,California,3670,69.0
2020-07-03,San Benito,California,260,2.0
2020-07-03,San Bernardino,California,13676,269.0
2020-07-03,San Diego,California,15759,387.0
2020-07-03,San Francisco,California,3722,50.0
2020-07-03,San Joaquin,California,4474,55.0
2020-07-03,San Luis Obispo,California,675,2.0
2020-07-03,San Mateo,California,3441,108.0
2020-07-03,Santa Barbara,California,3385,29.0
2020-07-03,Santa Clara,California,4849,161.0
2020-07-03,Santa Cruz,California,417,3.0
2020-07-03,Shasta,California,148,5.0
2020-07-03,Sierra,California,1,0.0
2020-07-03,Siskiyou,California,31,0.0
2020-07-03,Solano,California,1481,25.0
2020-07-03,Sonoma,California,1267,11.0
2020-07-03,Stanislaus,California,2850,44.0
2020-07-03,Sutter,California,228,3.0
2020-07-03,Tehama,California,86,1.0
2020-07-03,Trinity,California,3,0.0
2020-07-03,Tulare,California,4627,136.0
2020-07-03,Tuolumne,California,43,0.0
2020-07-03,Ventura,California,3394,47.0
2020-07-03,Yolo,California,613,25.0
2020-07-03,Yuba,California,106,1.0
2020-07-04,Alameda,California,6577,140.0
2020-07-04,Alpine,California,1,0.0
2020-07-04,Amador,California,29,0.0
2020-07-04,Butte,California,212,3.0
2020-07-04,Calaveras,California,53,0.0
2020-07-04,Colusa,California,70,0.0
2020-07-04,Contra Costa,California,3564,81.0
2020-07-04,Del Norte,California,58,0.0
2020-07-04,El Dorado,California,226,0.0
2020-07-04,Fresno,California,6110,77.0
2020-07-04,Glenn,California,122,0.0
2020-07-04,Humboldt,California,143,4.0
2020-07-04,Imperial,California,7039,113.0
2020-07-04,Inyo,California,32,1.0
2020-07-04,Kern,California,5213,81.0
2020-07-04,Kings,California,2634,33.0
2020-07-04,Lake,California,89,1.0
2020-07-04,Lassen,California,242,0.0
2020-07-04,Los Angeles,California,113497,3454.0
2020-07-04,Madera,California,578,5.0
2020-07-04,Marin,California,2656,19.0
2020-07-04,Mariposa,California,28,1.0
2020-07-04,Mendocino,California,85,0.0
2020-07-04,Merced,California,1272,11.0
2020-07-04,Mono,California,45,1.0
