county,population
Alameda,1648556.00
Alpine,1235.00
Amador,41259.00
Butte,208309.00
Calaveras,46221.00
Colusa,21917.00
Contra Costa,1161413.00
Del Norte,28100.00
El Dorado,193221.00
Fresno,1013581.00
Glenn,28805.00
Humboldt,136310.00
Imperial,179851.00
Inyo,18970.00
Kern,917673.00
Kings,153443.00
Lake,68766.00
Lassen,33159.00
Los Angeles,9829544.00
Madera,159410.00
Marin,260206.00
Mariposa,17147.00
Mendocino,91305.00
Merced,286461.00
Modoc,8661.00
Mono,13247.00
Monterey,437325.00
Napa,136207.00
Nevada,103487.00
Orange,3167809.00
Placer,412300.00
Plumas,19915.00
Riverside,2458395.00
Sacramento,1588921.00
San Benito,66677.00
San Bernardino,2194710.00
San Diego,3286069.00
San Francisco,815201.00
San Joaquin,789410.00
San Luis Obispo,283159.00
San Mateo,737888.00
Santa Barbara,446475.00
Santa Clara,1885508.00
Santa Cruz,267792.00
Shasta,182139.00
Sierra,3283.00
Siskiyou,44118.00
Solano,451716.00
Sonoma,485887.00
Stanislaus,552999.00
Sutter,99063.00
Tehama,65498.00
Trinity,16060.00
Tulare,477054.00
Tuolumne,55810.00
Ventura,839784.00
Yolo,216986.00
Yuba,83421.00
